dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,113,adjusted,0,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,1,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,2,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,3,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,4,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,5,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,6,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,7,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,8,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,9,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,10,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,11,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,12,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,13,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,14,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,15,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,16,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,17,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,18,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,19,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,20,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,21,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,22,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,23,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,24,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,25,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,26,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,27,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,28,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,29,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,30,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,31,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,32,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,33,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,34,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,35,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,36,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,37,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,38,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,39,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,40,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,41,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,42,1.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,43,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,44,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,45,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,46,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,47,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,48,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,49,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,50,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,51,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,52,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,53,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,54,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,55,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,56,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,57,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,58,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,59,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,60,1.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,61,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,62,1.25000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,63,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,64,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,65,1.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,66,0.75000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,67,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,113,adjusted,68,2.50000000,0.96248198,"0.75;1;1.25;1.5;1.75;2;2.5;3"
