dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,103,adjusted,48,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,49,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,50,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,51,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,52,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,53,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,54,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,55,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,56,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,57,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,58,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,59,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,60,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,61,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,62,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,63,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,64,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,65,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,66,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,67,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,68,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,69,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,70,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,71,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,72,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,73,1.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,74,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,75,1.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,76,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,77,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,78,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,79,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,80,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,81,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,82,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,83,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,84,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,85,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,86,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,87,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,88,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,89,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,90,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,91,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,92,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,93,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,94,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,95,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,96,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,97,3.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,98,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,99,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,100,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,101,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,102,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,103,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,104,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,105,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,106,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,107,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,108,2.00000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,109,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,103,adjusted,110,1.50000000,0.95598841,"0.75;1;1.25;1.5;1.75;2;2.5;3"
