dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
36_speech,t100,2,adjusted,0,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,1,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,2,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,3,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,4,2.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,5,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,6,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,7,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,8,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,9,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,10,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,11,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,12,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,13,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,14,1.25000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,15,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,16,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,17,1.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,18,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,19,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,20,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,21,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,22,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,23,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,24,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,25,1.25000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,26,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,27,1.25000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,28,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,29,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,30,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,31,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,32,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,33,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,34,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,35,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,36,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,37,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,38,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,39,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,40,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,41,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,42,1.25000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,43,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,44,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,45,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,46,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,47,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,48,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,49,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,50,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,51,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,52,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,53,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,54,2.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,55,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,56,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,57,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,58,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,59,2.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,60,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,61,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,62,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,63,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,64,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,65,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,66,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,67,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,68,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,69,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,70,2.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,71,2.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,72,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,73,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,74,3.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,75,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,76,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,77,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,78,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,79,1.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,80,1.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,81,1.25000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,82,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,83,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,84,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,85,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,86,0.75000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,87,1.00000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,88,1.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
36_speech,t100,2,adjusted,89,2.50000000,0.98636365,"0.75;1;1.25;1.5;1.75;2;2.5;3"
