dataset,tag,run_id,method,feature_index,param_opt,final_auc,grid
13_fraud,t100,126,adjusted,0,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,1,2.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,2,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,3,0.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,4,2.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,5,2.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,6,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,7,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,8,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,9,1.25000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,10,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,11,2.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,12,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,13,2.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,14,0.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,15,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,16,2.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,17,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,18,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,19,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,20,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,21,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,22,0.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,23,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,24,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,25,0.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,26,1.50000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,27,1.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
13_fraud,t100,126,adjusted,28,0.75000000,0.94281042,"0.75;1;1.25;1.5;1.75;2;2.5;3"
